id,label
788798,"Clinton Fookes"
1411391,"Marius-Constantin Popescu"
1411395,"Ying Li"
1411398,"Ying Li"
1575243,"Wenbo Wang"
1509709,"Arturo Hernández Aguirre"
657742,"Edleno Silva de Moura"
854355,"Fernando Vieira Paulovich"
493909,"S. L. Hakimi"
887127,"R. Torlone"
1575258,"Martin Butz"
2399,"Min Zhu"
362847,"Juan M. Orduña"
362849,"Timothy Bickmore"
1444194,"N. Nikolaidis"
624993,"M. Voorhoeve"
690527,"Seth Copen Goldstein"
1214823,"Reda Sleiman Alhajj"
1575283,"Andreas Butz"
1214835,"Nicola Bertoldi"
1575288,"James Antonakos"
35196,"Shoji Hirano"
526717,"Salvatore Greco"
2430,"Junho Shim"
1706369,"Yoshihisa Shinagawa"
526722,"S. Greco"
1313156,"V. Zaccaria"
690565,"G. A. W. West"
1313157,"R. Zaccaria"
493962,"W. Zhang"
264587,"Juris Hartmanis"
625036,"Pål Halvorsen"
1051018,"Jinshu Su"
1280398,"Mengyu Qiao"
723344,"Siu Wing Cheng"
330129,"Naehyuck Chang"
592274,"Derek L. Eager"
2451,"Lucia Rapanotti"
133531,"G. E. Evreinov"
592284,"R. Silvestri"
592285,"Irene Finocchi"
1411487,"John Yen"
723360,"Antonio Restivo"
625056,"Chiara Ghidini"
625057,"Amedeo Cesta"
1640866,"Li Zhao"
1149348,"Dror G. Feitelson"
1149349,"Elena Baralis"
362917,"A Cimitile"
1214886,"Jean-Marc Pierson"
330145,"J. R. Méndez"
330153,"Conor Ryan"
952746,"Gyung-Leen Park"
297391,"W. Feng"
2483,"Rafael Muñoz"
559539,"Daniel Borrajo"
494007,"Charles V. Trappey"
690615,"Steve A. Chien"
494011,"Amy J. C. Trappey"
68033,"T J Cashman"
428482,"Ioannis Hatzilygeroudis"
494019,"James R. Cordy"
690629,"Wen-Jing Hsu"
952774,"L. P. Cordella"
723400,"Beniamino Murgante"
362955,"Christof Monz"
1444301,"Louis M. Rose"
428495,"Jeffrey Bardzell"
133585,"Anujan Varma"
821724,"Juan Raposo"
1444319,"Vittorio Scarano"
625122,"Kazusuke Maenaka"
756198,"P Watson"
35302,"M. Ortega"
657894,"Henry Tirri"
428520,"Cheng Thao"
